,num,lyrics,mood
0,index,lyric,mood
1,0,late time bed sit wait gin tonic go head know devious plan way know get big bad car key hand know remain gentleman even there much gentleman stand sleep oh sleep tonight card table dream bed oh able id instead oh oh oh sleep tonight,happy
2,1,baby gimme gimme gimme gimme whats spell whats spell whats spell cheerleader baby earl baby baby name knew crazy tiny behind shed slaughtering hog slice belly feed dog one two three kill every motherfucker running hill one two three get fucked fuck pussy liquor make ya sicker pussy liquor quicker baby yeah like get fucked fucked goober yeah like get fucked baby yeah bet baby yeah like get fucked fucked goober yeah like get fucked baby yeah bet earl baby otis name white ghost totally insane otis love girl young clean drowning bucket gasoline one two three kill every motherfucker running hill one two three get fucked fuck pussy liquor make ya sicker pussy liquor quicker baby yeah like get fucked fucked goober yeah like get fucked baby yeah bet baby yeah like get fucked fucked goober yeah like get fucked baby yeah bet dont know something wont tell time mind send hell burnin house spirit alive tongue lashing mama help em survive one two three kill every motherfucker running hill one two three get fucked fuck pussy liquor make ya sicker pussy liquor quicker baby yeah like get fucked fucked goober yeah like get blow job baby yeah bet,angry
3,2,black theatre love violet dancer cast blood moon gave flower funeral come shape bow still one morbid way die beauty scare im falling deeper pain feel touch silence afraid hell black theatre love violet dancer drink blood moon gave flower funeral come cannot breathe losing life moon paint skyline blue died beautiful,sad
4,3,would like swing star carry moonbeam home jar better would rather mule mule animal long funny ear kick anything hears back brawny brain weak he plain stupid stubborn streak way hate go school may grow mule would like swing star carry moonbeam home jar better would rather pig pig animal dirt face shoe terrible disgrace he got manner eats food he fat lazy extremely rude dont care feather fig may grow pig would like swing star carry moonbeam home jar better would rather fish fish wont anything swim brook cant write name read book fool people thought though he slippery still get caught sort life wish may grow fish monkey arent zoo everyday youll meet quite see better could swingin star,happy
5,4,head head here another one anand another one oooh yeek yeek ear talking whole bunch shit aint trying hear get back motherfucker dont know like yeek yeek aint playing around make one false move ill take ya get back motherfucker dont know like whooo ssso cmon cmon dont get swung swung knick knack paddywhack still ride cadillacs family street made homies put baggies back still stacking plaque still action packed dough keep flipping like acrobat thats pack mac thatll crack em back cause waist there heat shaq attack aint speaking ballin ballin thinking brawlin till yall start bawlin together bird feather bought plane changing weather put brake cap put cape knock block get dropped face flown cause ill prove scratch music like hey little stupid dont make lose yeek yeek ear talking whole bunch shit aint trying hear get back motherfucker dont know like yeek yeek aint playing around make one false move ill take ya get back motherfucker dont know like came saw hit em right dead jaw came saw hit em right dead jaw came saw hit em right dead jaw came saw hit em right dead jaw see caught em wit right hook caught em wit jab caught em wit uppercut kicked em as sent way cause aint talk trip county aint walk split like two pin end lane well knock spotlight put end vain put dtp pendant end yo chain put booty swisha end flame yeek yeek ear talking whole bunch shit aint trying hear get back motherfucker dont know like yeek yeek aint playing around make one false move ill take ya get back motherfucker dont know like hey want wit im tell one time dont fuck wit get cause aint got nothing lose im bad day dont make take want wit im tell one time dont fuck wit get cause aint got nothing lose im bad day dont make take man cause dont wanna want good time enjoy jack sit back watch woman get drunk hell wake morning wit story tell know lil since house im wanna stand around running mouth cant hear nothing saying spitting wassup cant see club man shut fuck yeek yeek ear talking whole bunch shit aint trying hear get back motherfucker dont know like yeek yeek aint playing around make one false move ill take ya get back motherfucker dont know like ah red light district ah red light district whooh red light district ah red light district whooh red light district whooh red light district whooh red light district ah red light district,angry
6,5,sky made amethyst star like little fish learn go learn say might last day yeah mine forever might last day yeah mine forever get want never want get want never want go take everything take everything want go take everything take everything want sky violet want violent violent yeah im one soul one one might last day yeah mine forever might last day yeah mine forever get want never want get want never want go take everything take everything want go take everything take everything dare well told start would end get want never want go take everything take everything want go take everything take everything want lie youre mine youre mine go take everything take everything want go take everything take everything want go take everything take everything want go take everything take everything take everything take everything,angry
7,6,next thursday youre invited watch rising tide live coverage gala tribute salute ronald reagan host haley barbour join special guest lady margaret thatcher celebrating former president rd birthday ticket dollar plate see event free gop tv image perfection suntan napalm grenada haiti poland nicaragua shall choose morality im thinking right hollywood tragedy big mac smack phoenix please smile yall cuba mexico cant cauterise discipline idol speak much abyss yet moral run deep surface cool groovy morning fine tipper gore friend mine love free country star stripe apple mommy aint black union jack aint enough white star stripe compton harlem pimp fucked priest white man found new moral saviour vital stats white skin unimportant another innercity driveby thing morning fine serve first coffee day real privilege take problem away number one best excuse serve moral majority cool groovy morning fine tipper gore friend mine love free country star stripe apple mommy zapruder first masturbate world first taste crucified grace there enough black union jack there much white star stripe fuck brady bill fuck brady bill god made man say sam colt made equal,angry
8,7,maybe im joker maybe im fool eye maybe im weak one maybe im lie disguise maybe im angry cause im one who always wrong maybe im one who strong think pull pour could live without ever really doubt understand baby say done maybe im one youre gonna leave yeah better get goin cause aint wastin time didnt youre gonna leave yeah better start runnin cause aint wastin time mightve stand reason fight thing isnt forever wedding ring understand baby say done maybe im one youre gonna leave yeah better get goin cause aint wastin time didnt youre gonna leave yeah better start runnin cause aint wastin time ooh happen thing wanted friend happen look onward baby cause someday might need friend youre gonna leave yeah better get goin cause aint wastin time didnt youre gonna leave yeah better start runnin cause aint wastin time aint wastin time mightve,sad
9,8,born dark black cloak night envelop prey deliver light eliminate enemy hit sleep lost spoil war keep great nation built bone dead mud straw blood sweat know worth enemy praise architecture aggression praise architecture aggression ensuing power vacuum toppled leader dy body fuel power fire flame rise sky one side face kiss genocide time pay as worldwide suicide great nation built bone dead mud straw blood sweat know worth enemy praise architecture aggression born dark black cloak night envelop prey deliver light eliminate enemy hit sleep lost spoil war keep great nation built bone dead mud straw blood sweat know worth enemy praise architecture aggression great nation built bone dead mud straw blood sweat know worth enemy praise architecture aggression,angry
